test_er	,	test_acc
0.08905969560146332	,	1.0
2.531872087274678e-05	,	1.0
0.0005438093794509768	,	1.0
5.602449527941644e-05	,	1.0
0.009837102144956589	,	1.0
0.00036407698644325137	,	1.0
1.9311839878355386e-06	,	1.0
4.935233846481424e-06	,	1.0
0.000230986435781233	,	1.0
1.2775555849075317	,	0.4000000059604645
0.28296250104904175	,	0.800000011920929
0.0064345113933086395	,	1.0
0.004528526682406664	,	1.0
8.359955245396122e-05	,	1.0
8.770708518568426e-05	,	1.0
0.0005083515425212681	,	1.0
0.0017968954052776098	,	1.0
0.004280360881239176	,	1.0
0.0828821212053299	,	1.0
0.0005538426921702921	,	1.0
0.00017071462934836745	,	1.0
0.004027290735393763	,	1.0
3.328093225718476e-05	,	1.0
0.0004551477322820574	,	1.0
0.0018384946743026376	,	1.0
0.0010033177677541971	,	1.0
0.0004440479096956551	,	1.0
0.011421635746955872	,	1.0
0.6773392558097839	,	0.6000000238418579
0.0036672018468379974	,	1.0
1.0481253862380981	,	0.800000011920929
0.0006373954238370061	,	1.0
0.5968586206436157	,	0.800000011920929
1.6928256750106812	,	0.6000000238418579
0.04630487412214279	,	1.0
2.789486416077125e-06	,	1.0
0.0002908280002884567	,	1.0
3.042093521798961e-05	,	1.0
0.00021068126079626381	,	1.0
0.7643688321113586	,	0.800000011920929
0.029512709006667137	,	1.0
0.005384427960962057	,	1.0
3.45704575011041e-06	,	1.0
6.584604852832854e-05	,	1.0
2.2362688469002023e-05	,	1.0
6.127314463810762e-06	,	1.0
0.0011882003163918853	,	1.0
8.392238669330254e-06	,	1.0
5.4523534345207736e-05	,	1.0
5.29229873791337e-05	,	1.0
6.22267816652311e-06	,	1.0
0.0001556777278892696	,	1.0
0.06591448932886124	,	1.0
0.08352933824062347	,	1.0
0.039943140000104904	,	1.0
0.05036177486181259	,	1.0
0.042679596692323685	,	1.0
0.044170793145895004	,	1.0
0.000990461790934205	,	1.0
0.03959948197007179	,	1.0
0.01954282447695732	,	1.0
0.0019618875812739134	,	1.0
5.3808071243111044e-05	,	1.0
2.3888736905064434e-05	,	1.0
1.4543485349349794e-06	,	1.0
0.006142689846456051	,	1.0
0.10620087385177612	,	1.0
0.032445941120386124	,	1.0
0.049113862216472626	,	1.0
0.0009621811332181096	,	1.0
6.747146017005434e-06	,	1.0
0.09635081887245178	,	1.0
0.0034290184266865253	,	1.0
0.0387151837348938	,	1.0
0.07256601750850677	,	1.0
3.0755829811823787e-06	,	1.0
4.427139720064588e-05	,	1.0
0.0002214234264101833	,	1.0
1.8262544472236186e-05	,	1.0
0.0006349643808789551	,	1.0
1.7332366041955538e-05	,	1.0
6.877881241962314e-05	,	1.0
8.082322892732918e-06	,	1.0
0.0010323282331228256	,	1.0
0.02350429818034172	,	1.0
0.026110002771019936	,	1.0
0.01896745339035988	,	1.0
0.0902642235159874	,	1.0
0.0009637127513997257	,	1.0
0.0007351217791438103	,	1.0
0.00038280425360426307	,	1.0
2.9991231713211164e-05	,	1.0
0.00027242046780884266	,	1.0
0.20073501765727997	,	0.800000011920929
0.00011951453052461147	,	1.0
8.479179086862132e-05	,	1.0
0.0026540954131633043	,	1.0
1.63553049787879e-05	,	1.0
5.5521966714877635e-05	,	1.0
0.00013941065117251128	,	1.0
2.241129323010682e-06	,	1.0
9.433385275769979e-05	,	1.0
3.26148365275003e-05	,	1.0
0.0025439858436584473	,	1.0
0.0010846826480701566	,	1.0
0.006250391248613596	,	1.0
0.00047809554962441325	,	1.0
6.532626230182359e-06	,	1.0
0.05847359821200371	,	1.0
0.010480904951691628	,	1.0
0.00036072262446396053	,	1.0
0.0002153486420866102	,	1.0
0.21006914973258972	,	1.0
0.07831986993551254	,	1.0
0.03574671968817711	,	1.0
0.004582315683364868	,	1.0
0.09501920640468597	,	1.0
0.002307132352143526	,	1.0
2.7869429686688818e-05	,	1.0
0.23588255047798157	,	0.800000011920929
1.5210694982670248e-05	,	1.0
0.07144096493721008	,	1.0
0.17963150143623352	,	0.800000011920929
0.006895757280290127	,	1.0
0.0007632517372258008	,	1.0
0.037659622728824615	,	1.0
0.0007476372411474586	,	1.0
0.00020586536265909672	,	1.0
6.274221232160926e-05	,	1.0
0.261532723903656	,	0.800000011920929
0.0421244278550148	,	1.0
3.859675052808598e-05	,	1.0
0.00016567669808864594	,	1.0
7.690404891036451e-05	,	1.0
0.00013964995741844177	,	1.0
0.0026779116597026587	,	1.0
0.00019795724074356258	,	1.0
0.0004988439613953233	,	1.0
0.001470364979468286	,	1.0
5.483624363478157e-07	,	1.0
0.005068104714155197	,	1.0
0.009333188645541668	,	1.0
8.32071509648813e-06	,	1.0
0.0006239082431420684	,	1.0
0.08538582175970078	,	1.0
0.0019554155878722668	,	1.0
0.00010695322271203622	,	1.0
0.0039024341385811567	,	1.0
0.06248326972126961	,	1.0
0.03931109979748726	,	1.0
0.0013991359155625105	,	1.0
0.006324091460555792	,	1.0
2.2410833480535075e-05	,	1.0
0.0004064939566887915	,	1.0
1.2635990060516633e-05	,	1.0
0.000195892367628403	,	1.0
0.01082067284733057	,	1.0
0.005403777118772268	,	1.0
1.1746355295181274	,	0.800000011920929
3.042000207642559e-05	,	1.0
6.174998816277366e-06	,	1.0
0.00034050087560899556	,	1.0
0.07428406178951263	,	1.0
0.6518956422805786	,	0.6000000238418579
4.196142526780022e-06	,	1.0
0.006160411983728409	,	1.0
0.005902893375605345	,	1.0
0.004399803001433611	,	1.0
0.02425394207239151	,	1.0
0.020714424550533295	,	1.0
0.0006915603880770504	,	1.0
0.0010705816093832254	,	1.0
0.5733280777931213	,	0.6000000238418579
0.00021687659318558872	,	1.0
0.891167938709259	,	0.6000000238418579
1.225448795594275e-05	,	1.0
0.021807532757520676	,	1.0
0.0006723930709995329	,	1.0
1.0967244179482805e-06	,	1.0
0.00014701129111927003	,	1.0
0.35209670662879944	,	0.800000011920929
5.006787660022383e-07	,	1.0
0.027567926794290543	,	1.0
0.0011836495250463486	,	1.0
0.0013878913596272469	,	1.0
0.00014655041741207242	,	1.0
0.0004651959170587361	,	1.0
3.838503289443906e-06	,	1.0
2.9085742426104844e-05	,	1.0
0.0004901352804154158	,	1.0
7.137346256058663e-05	,	1.0
0.0019148662686347961	,	1.0
0.545833945274353	,	0.800000011920929
0.012012576684355736	,	1.0
0.02686060033738613	,	1.0
2.0630557537078857	,	0.800000011920929
0.00022880439064465463	,	1.0
0.0009916209382936358	,	1.0
1.1396119589335285e-05	,	1.0
0.00018762664694804698	,	1.0
3.432937592151575e-05	,	1.0
0.0003487586509436369	,	1.0
0.00306164612993598	,	1.0
4.262627044226974e-05	,	1.0
7.592867041239515e-05	,	1.0
0.00012693394091911614	,	1.0
0.01532949972897768	,	1.0
0.00261361594311893	,	1.0
0.00021696920157410204	,	1.0
0.18534786999225616	,	0.800000011920929
0.001206110930070281	,	1.0
0.0021839614491909742	,	1.0
0.001708185882307589	,	1.0
0.02842026576399803	,	1.0
0.022784586995840073	,	1.0
0.00036414293572306633	,	1.0
0.003737823572009802	,	1.0
7.039852062007412e-05	,	1.0
0.002769012004137039	,	1.0
0.0003008807252626866	,	1.0
0.00034520268673077226	,	1.0
0.0007679644040763378	,	1.0
0.00149069563485682	,	1.0
0.02896437607705593	,	1.0
4.6964942157501355e-05	,	1.0
0.00010523753007873893	,	1.0
7.514323078794405e-05	,	1.0
0.0008119633421301842	,	1.0
0.0010824250057339668	,	1.0
0.00026286495267413557	,	1.0
6.169610423967242e-05	,	1.0
0.00024471100186929107	,	1.0
0.010682718828320503	,	1.0
0.16159938275814056	,	0.800000011920929
